_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
1,1073,University of Toronto,"1365 Military Trail, Scarborough, ON     M1C 1A4",,416-287-7065,health-services@utsc.utoronto.ca,"<a href=""http://www.utsc.utoronto.ca/wellness"" target=""_blank"">www.utsc.utoronto.ca/wellness</a>",Students who need medical care * valid health card and student card required,"University campus integrated health service
with doctors, nurses and counsellors that provide:<br><ul><li>assess and treat minor infections and injuries</li><li>general counselling</li><li>immunization</li><li>smoking cessation program (help to quit smoking)</li><li>sexual health information and counselling</li><li>birth control counselling</li><li>Pap smears</li><li>pregnancy testing and counselling</li><li>testing for sexually transmitted infections</li><li>nutrition counselling</li><li>personal counsellors available by appointment until 7pm</li></ul><br>Service is for
registered UTSC students only.&nbsp; Not for the public.",Call or drop-in * no referral required,English,Unknown,"Mon, Wed-Fri 9am-4:45pm * Tue 10am-4:45pm",(50) Non Profit,2016-01-12T05:00:00,363859,,,,,1365 Military Trl,Scarborough,M1C 1A3,"{u'type': u'Point', u'coordinates': (-79.1820291864, 43.7833543592)}"
2,1074,Talk Shop Sexual Health Clinic,"5100 Yonge St, Lower Level, Toronto, ON     M2N 5E7",,416-338-7000,,"<a href=""http://www1.toronto.ca"" target=""_blank"">www1.toronto.ca</a>",People who need sexual health services,Sexual health clinic * health professionals test for and treat sexually transmitted infections * family planning services<br><ul><li>birth control counselling</li><li>low cost or free birth control&nbsp;</li><li>pregnancy testing and counselling</li><li>free condoms</li><li>HIV testing</li><li>sexuality and relationship counseling</li><li>emergency contraceptive pill</li></ul>,Drop-in * no referral required,English,Fully Accessible,"Mon, Thu 2pm-6:30pm * Wed 9:30am-3:30pm (closed 11am-1:30pm)",(50) Non Profit,2015-05-20T04:00:00,3841975,,,,,5100 Yonge St,North York,M2N 5V7,"{u'type': u'Point', u'coordinates': (-79.414888745, 43.7672678892)}"
3,1075,Seneca College - Newnham Campus - Student Health Centre,"1750 Finch Ave E, Toronto, ON     M2J 2X5",,416-491-5050 ext 22965,,"<a href=""http://www.senecac.on.ca/students/healthcentre.html"" target=""_blank"">www.senecac.on.ca/students/healthcentre.html</a>",Students and staff who need medical care * valid health card required,College community medical clinic * health professionals assess and treat minor infections and injuries<br><ul><li>birth control counselling</li><li>emergency birth control</li><li>pap smears</li><li>testing and treating for sexually transmitted infections</li></ul>,Call or drop-in * doctors are available only by appointment,English,,Mon-Fri 9am-4:30pm,(50) Non Profit,2015-02-25T05:00:00,515776,,,,,1750 Finch Ave E,North York,M2J 2X5,"{u'type': u'Point', u'coordinates': (-79.3489876443, 43.7957808076)}"
4,1077,Birth Control and VD Information Centre,"960 Lawrence Ave W, Ste 403, Toronto, ON     M6A 3B5","Yorkdale-Glen Park, 31",416-789-4541,info@birthcontrolvd.org,"<a href=""http://www.birthcontrolvd.org"" target=""_blank"">www.birthcontrolvd.org</a>",,"Sexual health clinic * information and counselling on birth control, sexually transmitted infections, pregnancy, unplanned pregnancy * fully equipped medical clinics -- no Ontario Health Insurance required * anonymous HIV testing, including point-of-care testing * sexually transmitted disease testing and treatment * low cost birth control * pregnancy tests, emergency contraception, condoms * community education programs, films, literature in many languages * confidential",Call for appointment,English,Wheelchair accessible - call for details ; Lot parking,"Office -- Mon-Fri 10 am-5 pm * <b>clinics</b> -- Mon 2 pm-4 pm, Tue 4 pm-6 pm, Wed 12 noon-4 pm, Thu 5 pm-7 pm, Fri 12:30 pm-3:30 pm",(50) Non Profit ; (51) Registered Charity,2016-02-11T05:00:00,5738239,,,,,960 Lawrence Ave W,North York,M6A 3B5,"{u'type': u'Point', u'coordinates': (-79.4574923099, 43.7139122517)}"
5,1078,Birthright,"777 Coxwell Ave, Toronto, ON     M4C 3C6","Danforth Village-Toronto, 66",416-469-1111,toronto@birthright.org,"<a href=""http://www.birthright.org"" target=""_blank"">www.birthright.org</a>",,Crisis pregnancy services offering assistance to distressed pregnant girls and women in carrying their babies to term * counselling and referrals * assistance in finding accommodation * free pregnancy testing * clothing for mother and baby * confidential,Call for appointment,English ; French - appointment required ; Filipino - appointment required ; Polish - appointment required ; Portuguese - appointment required ; Spanish - appointment required ; Urdu - appointment required,Wheelchair accessible - call for details ; Rear entrance close to parking,"Mon 9:30 am-4:30 pm; Tue 9:30 am-1:30 pm, 6 pm-9 pm; Wed 9:30 am-1:30 pm, 5:30 pm-8:30 pm; Thu 9:30 am-1:30 pm; Fri 5:30 pm-8:30 pm",(50) Non Profit ; (51) Registered Charity,2016-01-21T05:00:00,787730,,,,,777 Coxwell Ave,former Toronto,M4C 3C6,"{u'type': u'Point', u'coordinates': (-79.3246372946, 43.6865350163)}"
6,1079,Hassle Free Clinic,"66 Gerrard St E, Ste 200, Toronto, ON     M5B 1G3","Church-Yonge Corridor, 75",416-922-0566,admin@hasslefreeclinic.org,"<a href=""http://www.hasslefreeclinic.org"" target=""_blank"">www.hasslefreeclinic.org</a>",No restrictions,"Sexual health counselling and related medical services, including birth control, testing and treatment for sexually transmitted infections, and anonymous HIV testing and counselling * partners welcome * confidential * no Ontario Health Insurance required * schedules for women/trans and men/trans clinics differ -- see Hours above * clinic space limited<br><br> 

<b>Men/Trans-Identified clients -- drop-in</b> for sexually transmitted infection (STI) testing and treatment * Hepatitis A and B vaccinations * free condoms available * <b>by appointment</b> -- anonymous HIV testing, counselling and treatment information * sexuality and safe sex counselling * sexual assault counselling, testing and follow-up * outreach to bathhouses<br><br> 

<b>Women/Trans-Identified clients -- drop-in</b> for sexually transmitted infection testing and treatment * free condoms available * emergency contraception/Plan B  * <b>by appointment</b> -- counselling on safer sex, sexually transmitted infections (STI), birth control, sexuality and healthy relationships * pregnancy testing and counselling * abortion counselling, referral and follow-up * fertility awareness * anonymous HIV testing, counselling and treatment information * support for HIV positive women and trans people * sexual assault counselling, testing and follow-up",,English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Hindi ; Italian ; Spanish ; Urdu,Wheelchair accessible via elevator at north side of building ; Barrier free examination room and washroom,"<b>Patient registration ends when all slots are filled</b>, generally early in clinic hours<br>
<br>
<b>Men/Trans-Identified</b> -- Mon, Wed 4 pm-8 pm; Tue, Thu 10 am-3 pm; Fri 4 pm-7 pm; Sat 10 am-2 pm * closed Sun and holidays<br>
<br>
<b>Women/Trans-Id",(50) Non Profit ; (51) Registered Charity,2016-02-03T05:00:00,7642009,,,,,66 Gerrard St E,former Toronto,M5B 1G3,"{u'type': u'Point', u'coordinates': (-79.3788636882, 43.6599549522)}"
7,1104,"University Health Network, Toronto Western Hospital","399 Bathurst St, West Wing, 2nd Fl, Toronto, ON     M5T 2S8","Trinity-Bellwoods, 81",416-603-5888,,"<a href=""http://www.uhn.ca"" target=""_blank"">www.uhn.ca</a>",Residents of catchment area,"Family health clinic * multidisciplinary team including doctors, nurses, nurse practitioners, social worker, pharmacists, chiropodist * prenatal, obstetrical and newborn care * family planning * sexual health",Call for appointment,English ; professional interpreters for physician-patient encounters * interpretation services 416-603-6400,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,"Mon-Tue, Thu 9 am-8 pm; Wed 1:30 pm-8;pm Fri 8:30 am-4:30 pm; Sat 9 am-12:30 pm",(50) Non Profit ; (51) Registered Charity,2014-01-31T05:00:00,9086232,,,,,399 Bathurst St,former Toronto,M5T 2S8,"{u'type': u'Point', u'coordinates': (-79.405688479, 43.6530947912)}"
8,1080,Immigrant Women's Health Centre,"489 College St, Ste 200, Toronto, ON     M6G 1A5","Palmerston-Little Italy, 80",416-323-9986,info@immigranthealth.info,"<a href=""http://www.immigranthealth.info"" target=""_blank"">www.immigranthealth.info</a>","All women * focus on immigrant and refugee women, and women without status","Sexual health care medical services, information, counselling and referral -- health education, family planning, birth control, emergency contraception, sexually transmitted diseases, pregnancy, sexuality * presentations on reproductive health, AIDS * Immigrant Women's Health Handbook available in several languages * workshops and mobile health clinic visits in locations such as factories and other workplaces, places of worship and English as a Second Language (ESL) classes * confidential * no Ontario Health Insurance required",Walk in,English ; Chinese (Cantonese) ; Chinese (Mandarin) ; Filipino ; Hindi ; Italian ; Portuguese ; Spanish ; Urdu ; Vietnamese,"Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features - lowered buttons ; Wheelchair accessible washroom, assistance needed with door ; Street parking","Mon-Fri 9 am-5 pm * health clinic Mon-Tue 10 am-6 pm, Wed 2 pm-8 pm, Thu 10 am-2 pm",(50) Non Profit,2014-05-16T04:00:00,7577058,,,,,489 College St,former Toronto,M6G 1A5,"{u'type': u'Point', u'coordinates': (-79.4092321789, 43.6558610486)}"
9,1081,Women's College Hospital,"76 Grenville St, 3rd Fl, Toronto, ON     M5S 1B2","Bay Street Corridor, 76",416-323-6031,,"<a href=""http://www.womenscollegehospital.ca/programs-and-services/crossroads-clinic"" target=""_blank"">www.womenscollegehospital.ca/programs-and-services/crossroads-clinic</a>",Newly arrived refugees of all ages,"Diagnosis and management of acute medical issues * annual health exams * management of chronic diseases * full primary care for children including immunizations * pregnancy care * family planning advice * health education<br><br>
<a href=""http://www.womenscollegehospital.ca/programs-and-services/crossroads-clinic/Syrian-Refugee-Medical-Clinic"">Temporary clinic</a>
for newly arrived Syrian refugees -- call 416-323-6400 ext 5905 for an appointment",Call for an appointment,English ; Interpretive Services,"Wheelchair accessible building including main entrance and barrier free washrooms * access ramps at front and emergency entrances * braille and tone elevator, lowered buttons",Mon-Fri 8 am-4 pm,(50) Non Profit,2015-11-26T05:00:00,7762671,,,,,76 Grenville St,former Toronto,M5S 1B2,"{u'type': u'Point', u'coordinates': (-79.38737538, 43.6615085917)}"
10,1082,Unison Health and Community Services,"12 Flemington Rd, Toronto, ON     M6A 2N4","Englemount-Lawrence, 32",416-787-1661,,"<a href=""http://www.unisonhcs.org"" target=""_blank"">www.unisonhcs.org</a>","Health Services -- open to all within catchment area * Toronto Public Health dental clinic -- children, adolescents, parents enrolled in select Toronto Public Health programs and seniors","Community health centre * health services, health promotion, community services and community development * legal clinic * no Ontario Health Insurance required for general services 
<br><br>
<b>Health Services</b> -- family practice including crisis pregnancy, family planning, management of chronic conditions, prenatal and postnatal care, preventative health care, seniors health, sexual health --  individual and sexuality counselling,  treatment of sexually transmitted diseases * counselling and case management * dietitian * podiatry clinic
<br><br>
<b>Health Promotion</b> -- anonymous HIV testing * breastfeeding clinic * child and parenting programs * Diabetes Education Program * Diabetes Prevention Program * harm reduction programs * Toronto Public Health dental clinic * youth programs
<br><br>
<b>Pathways to Education</b> 416-787-6800 -- academic and financial support for high school students * located at Lawrence Square 700 Lawrence Ave W, Ste 440B, Toronto M6A 3B4
<br><br>
<b>Unison Links</b> 416-787-1676 ext 275 -- drop-in information and referral centre * Monday, Tuesday 9:30 am-12:30 pm, 1:30 pm-4:30 pm; Wednesday 9:30-12 noon, 1 pm-2:30 pm * form filling * help with accessing government and community programs * information on services at Unison and other agencies * internet access for searching community, social, health and related government services",,"English ; interpreters for Italian, Portuguese, Russian, Somali, Spanish * other languages available with 24 hour notice",Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator ; Barrier-free washroom including door and stall ; Elevator with braille,"Mon-Thu 8:30 am-8:30 pm, Fri 8:30 am-5 pm",(50) Non Profit ; (51) Registered Charity,2015-10-22T04:00:00,7062867,,,,,12 Flemington Rd,North York,M6A 2N4,"{u'type': u'Point', u'coordinates': (-79.4449552874, 43.7195242798)}"
